clase,precision,recall,f1-score,support
000 - Normal,0.9759133557715811,0.9872649629552134,0.9815563403921346,105143.0
126 - Path Traversal,0.5068250758341759,0.9770955165692008,0.6674434087882823,4104.0
153 - Input Data Manipulation,0.10890840652446675,1.0,0.1964245304367504,434.0
16 - Dictionary-based Password Attack,0.9590163934426229,0.9564032697547684,0.9577080491132333,367.0
194 - Fake the Source of Data,0.6260969314597075,0.9708288865172536,0.761253879145019,11244.0
242 - Code Injection,0.4553392499284283,0.9863565891472869,0.6230535696797571,3225.0
248 - Command Injection,0.0,0.0,0.0,0.0
272 - Protocol Manipulation,0.1129963145817398,0.8997785160575859,0.20077840242169642,1806.0
274 - HTTP Verb Tampering,0.9893048128342246,0.9901873327386262,0.9897458760588498,1121.0
310 - Scanning for Vulnerable Software,0.9072356215213359,0.9157303370786517,0.9114631873252563,534.0
33 - HTTP Request Smuggling,0.24615384615384617,0.9811320754716981,0.3935666982024598,212.0
34 - HTTP Response Splitting,0.5304811372334609,0.9984563931052225,0.6928501294296171,3887.0
66 - SQL Injection,0.9512275786934361,0.9756559912201935,0.9632869371632338,50115.0
88 - OS Command Injection,0.23717178651106915,0.9577269577269577,0.38019257221458047,1443.0
micro avg,0.6341087670673973,0.9817627358619,0.770536960224298,183635.0
macro avg,0.5433336078921497,0.8997583448816185,0.6228088271693479,183635.0
weighted avg,0.9013680179240029,0.9817627358619,0.9285141673520594,183635.0
samples avg,0.7716784125567855,0.9824932209022028,0.8377904587501256,183635.0
